player_name,age,nationality,team_name,start_year,end_year,appearances,league_name,image_url
Luís Esteves,27,Portugal,Gil Vicente,2025,2025,10,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/609518-1547567442.png?lm=1
Rafael Barbosa,29,Portugal,Avs FS,2025,2025,10,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/225151-1550237781.jpg?lm=1
Kiki,30,Portugal,Avs FS,2024,2025,36,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/270055-1690030617.png?lm=1
Guilherme Schettine,30,Brazil,Moreirense,2024,2025,40,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/371245-1689583572.png?lm=1
Tiago Esgaio,30,Portugal,Arouca,2022,2025,89,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/581121-1638436958.jpg?lm=1
Rodrigo Abascal,31,Uruguay,Vit. Guimarães,2025,2025,10,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/367652-1581877880.jpg?lm=1
Maracás,31,Brazil,Moreirense,2023,2025,68,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/373187-1705662823.png?lm=1
Seba Pérez,32,Colombia,Casa Pia,2025,2025,10,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/182108-1461141662.jpg?lm=1
Sergi Gómez,33,Spain,Alverca,2025,2025,10,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/92947-1447159892.jpg?lm=1
David Simão,35,Portugal,Arouca,2021,2025,112,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/70359-1655553351.png?lm=1
David Simão,25,Portugal,Arouca,2013,2015,79,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/70359-1655553351.png?lm=1
Sandro Lima,35,Brazil,Alverca,2025,2025,10,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/284739-1692637047.png?lm=1
Marcelo,36,Brazil,Moreirense,2023,2025,69,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/190185-1705662897.png?lm=1
João Aurélio,37,Portugal,Nacional,2024,2025,24,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/84711-1537360123.png?lm=1
João Aurélio,26,Portugal,Nacional,2008,2015,186,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/84711-1537360123.png?lm=1
Rodrigo Mora,18,Portugal,Porto,2024,2025,32,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/957653-1758830632.jpg?lm=1
